nn;chapter;article;paragraph;name;summ
;;11;;Училищный Советъ по Св Синоде съ Канцеярiею и Статистическимъ Отделомъ;71633
;;;а;Личный составъ;66133
;;;б;Канцелярскiе и хозяйственные расходы;5500
18;2;;;Содержанiе местныхъ учрежденiй;1448609
;;1;;Духовныя консерваторiи;760837
;;;а;Личный составъ;666843
;;;б;Канцелярскiе и хозяйственные расходы;93994
;;2;;Духовные правленiя и епархiальные канцелярiя;11358
;;;а;Личный составъ;7558
;;;б;Канцелярскiе и хозяйственные расходы;3800
;;3;;Епархiальные архитекторы;6752
;;4;;Управленiе и инспекцiя церковных школъ;598306
;;;а;епархiальные наблюдатели;143040
;;;б;уездные, окружные и областные наблюдатели;386659
;;;в;вознагражденiе делопроизводителей епархiальныхъ училищныхъ советовъ и наемъ писцовъ;56807
;;;г;вознагражденiе местныхъ деятелей по управленiю церковными школами;11800
;;5;;Выдачи по местнымъ привилегiями службы;71356
;;;а;путевые пособiя;59000
;;;б;прибавочное жалованье;12011
;;;в;Пособiя на воспитанiе детей;345
19;3;;;Разные расходы администрацiи;16900
;;1;;Путевое довольствiе;167000
;;2;;В распоряженiе Оберъ-Прокурора на выдачу мелочныхъ пособiй;2000
20;4;;;Разные расходы по управленiю;15492
;;1;;В распоряженiе Св Синода на поддержку разныхъ духовныхъ учрежденiй;14536
;;2;;Заготовленiе Св Мира;956
;;;;Духовенство;None
21;5;;;Архiерейскiе дома и кафедральные соборы;957676
;;1;;Епархiальные преосвященные и викарные епископы;200768
;;2;;Архiерейскiе дома;264760
;;;а;Личный составъ;248610
;;;б;Хозяйственные расходы;16150
;;3;;Кафедральные соборы;492148
;;;а;Личный составъ;392590
;;;б;Хозяйственные расходы;99558
22;6;;;Монастыри;439633
;;1;;Мужскiе монастыри;243551
;;2;;Женскiе монастыри;196082
23;7;;;Городское и сельское духовенство, миссiи и миссiонеры;14808715
;;1;;Городское и сельское духовенство;14766966
;;2;;Миссiи и миссiонеры;41749
24;8;;;Православныя духовныя учрежденiя за границею;271710
;;1;;Содержанiе духовныхъ учрежденiй за границею;271710
;;;;Просвященiе, науки и искусства;None
25;9;;;Духовно-учебныя заведенiя;3300653
;;1;;Пособiе на содержанiе духовно-учебныхъ заведенiй;3192509
;;2;;Выдача третного не въ зачетъ жалованiя лицамъ, определенныхъ из учительскiя должности въ духовно-учебныя заведенiя;21000
;;3;;Выдача по местнымъ привилегiямъ службы;87144
;;;а;путевые пособiя;19000
;;;б;прибавочное жалованье;65240
;;;в;Пособiя на воспитанiе детей;2904
26;10;;;Церковныя школы;14435723
;;1;;Церковно-учительскiя школы;444739
;;2;;Второклассныя школы;1828362
;;3;;Начальныя церковно-приходскiя школы и школы грамоты;12155722
;;4;;Преподаванiе сельскаго хозяйства;6900
27;11;;;На увеличенiе содержанiя учащихъ въ церковныхъ школахъ вошедшихъ въ церковные сети;2511000
;;1;;На увеличенiе содержанiя учащихъ въ церковныхъ школахъ вошедшихъ въ церковные сети;2511000
;;;;Постройка зданiй и приобретенiе недвижимыхъ имуществъ;None
28;12;;;Сооруженiе и ремонт зданiй;771500
;;1;;Постройка зданiй, прiобретенiе недвижимыхъ имуществъ, приспособленiе и обородованiе помещенiй;560000
;;2;;Ремонтъ;161500
;;3;;Пособiе на усиленiе фонда имени Императора Александра III на сооруженiе церквей в переселенческiх поселкахъ Сибири;50000
;;;;Пособiя и вознагражденiе по разнымъ случаямъ;None
29;13;;;Пособiя по разнымъ случаямъ;220828
;;1;;Обществу восстановленiя православного христiанства на Кавказе;54928
;;2;;Императорскому Палестинскому Обществу;30000
;;3;;На содержанiе больницы и лечебницы для приходящихъ больныхъ Императора Николая II при Кiевскомъ Покровскомъ женскомъ монастыре;80000
;;4;;Обществу распространенiя книгъ Священнаго Писанiя;3000
;;5;;Дочерям бывшаго Товарища Обер-Прокурора Св Синода Тайн Сов Толстого, Елене и Зое;600
;;6;;На содержанiе Ростовскаго музея церковныхъ древностей;2300
;;7;;С-Петербургском братству во имя Царицы Небеской;50000
30;14;;;Вознагражденiе за отошедшiе въ казну имущества, доходы и др;372686
;;1;;Взаменъ переданныхъ въ казну именiй;177631
;;2;;Взаменъ следующихъ по положенiю, но не отведенныхъ от казны угодiй;30436
;;3;;Взаменъ дохода съ переданнаго въ казну, заимообразно, запасно-строительнаго капитала духовенства западных епархiй;164619
;;;;Министерство Внутреннихъ Делъ;172393990
;;;;По общей части;99129513
;;;;Гражданское управленiе;None
;;;;Общiе расходы по управленiю;None
31;1;;;Содержанiе центральныхъ учрежденiй;1561411
;;1;;Министръ и Товарищи его;51110
;;2;;Советъ Министра, чиновники особыхъ порученiй и состоящiе при Министре и Министерстве;100416
;;3;;Канцелярiя Министра;25838
;;;а;Личный составъ;19338
;;;б;Канцелярскiе и хозяйственные расходы;6500
;;4;;Медицинскiй Советъ и его Канцелярiя;39570
;;;а;Личный составъ;36170
;;;б;Канцелярскiе и хозяйственные расходы;3400
;;5;;Департаментъ Общихъ Делъ;178975
;;;а;Личный составъ;154375
;;;б;Канцелярскiе и хозяйственные расходы;24600
;;6;;Департаментъ Полицiи;189883
;;;а;Личный составъ;173283
;;;б;Канцелярскiе и хозяйственные расходы;16600
;;7;;Советъ и Главное Управленiе по деламъ местнаго хозяйства;300092
;;;а;Личный составъ;268592
;;;б;Канцелярскiе и хозяйственные расходы;31500
;;8;;Управленiе Главнаго Врачебнаго Инспектора;62616
;;;а;Личный составъ;38816
;;;б;Канцелярскiе и хозяйственные расходы;11000
;;;в;Оффицiальныя изданiя;12800
;;9;;Земскiй Отделъ;191629
;;;а;Личный составъ;149829
;;;б;Канцелярскiе и хозяйственные расходы;41800
;;10;;Статистическiй Советъ и Центральный Статистическiй Комитетъ;77904
;;;а;Личный составъ;52633
;;;б;Канцелярскiе и хозяйственные расходы;5271
;;;в;На усиленiе средств;20000
;;11;;Техническо-Строительный Комитетъ;48203
;;;а;Личный составъ;38203
;;;б;Канцелярскiе и хозяйственные расходы;10000
;;12;;Советъ и Главное Управленiе по деламъ печати;214575
;;;а;Личный составъ;50275
;;;б;Канцелярскiе и хозяйственные расходы;3000
;;;в;вознагражденiе за спецiальные труды;11300
;;;г;усиленiе средств;150000
;;13;;Ветеринарный Комитетъ и Ветеринарное Управленiе;80600
;;;а;Личный составъ;73600
;;;б;Канцелярскiе и хозяйственные расходы;7000
32;2;;;Содержанiе местныхъ общеадминистративныхъ учрежденiй;7181781
;;1;;Наместникъ Его Императорскаго Величества на Кавказе, генералъ-губернаторы и помощники ихъ;260653
;;2;;Губернаторы, вице-губернаторы, начальники областей, градоначальники, оберъ-полицiймейстеры и помощники ихъ;1239152
;;3;;Канцелярiи: Наместника, генералъ-губернаторовъ, губернаторовъ, градоначальниковъ и оберъ-полицiймейстеровъ;2006163
;;;а;Личный составъ;1586003
;;;б;Канцелярскiе и хозяйственные расходы;420160
;;4;;Губернскiе предводители дворянства по назначенiю отъ правительства;11565
;;5;;Губернскiе и областныя правленiя;2429429
;;;а;Личный составъ;1818639
;;;б;Канцелярскiе и хозяйственные расходы;610790
;;6;;Комитеты, инспекторы по деламъ печати, цензоры и инспекторы типографiй и книжной торговли;250077
;;;а;Личный составъ;229877
;;;б;Канцелярскiе и хозяйственные расходы;20200
;;7;;Губернскiе и областныя статистическiе комитеты;119633
;;;а;Личный составъ;48871
;;;б;Канцелярскiе и хозяйственные расходы;70762
;;8;;Губернскiя и областныя по городскимъ и земскимъ деламъ присутствия;283443
;;;а;Личный составъ;184643
;;;б;Канцелярскiе и хозяйственные расходы;98800
;;9;;Канцеляiя Особаго по деламъ г С-Петербурга Присутствiя;9804
;;;а;Личный составъ;6804
;;;б;Канцелярскiе и хозяйственные расходы;3000
;;10;;Военно-народныя управленiя на Кавказе;541474
;;;а;Личный составъ;511408
;;;б;Канцелярскiе и хозяйственные расходы;30066
;;11;;Нижегородское Ярмарочное Управленiе;30388
;;;а;Личный составъ;6788
;;;б;Канцелярскiе и хозяйственные расходы;23600
33;2;;;На производство дополнительныхъ окладовъ чинамъ канцелярiй губернаторовъ и губернскiхъ правлений, кроме вице-губернаторовъ, в 50 губернiяхъ, управляемыъ по общему учрежденiю, и на усиленiе канцелярскихъ и хозяйственныхъ средствъ этихъ учрежденiй;1134898
;;;;Полицiя;None
34;3;;;Содержанiе местныхъ полицейскiхъ учрежденiй;53012499
;;1;;Городскiя, уездныя и окружныя полицейскiе управленiя;24991347
;;;а;Личный составъ;18409052
;;;б;Канцелярскiе и хозяйственные расходы;11582295
;;2;;Полицейская стража въ Имперiи;22523351
;;3;;Полицейская стража въ Закавказе;2360692
;;4;;Урядники;200123
;;5;;Фабрично-заводская полицiя;663393
;;6;;Дагестанская милицiя;72598
;;7;;Полицейскiя должности, содержимыя на счетъ частныхъ средствъ;2200995
35;4;;;Разные расходы на полицейскiе надобности;6397960
;;1;;Расходы не подлежащiе оглашенiю;3351174
;;2;;Расходы на сыскную часть;286900
;;3;;Содержанiе поднадзорныхъ;740000
;;4;;Содержанiе пароходов и шкуны;66383
;;5;;Пособiя городамъ на содержанiе полицiи;1953503
;;;;Медицинская часть;None
36;5;;;Содержанiе местнаго врачебнаго управленiя;1811100
;;1;;Врачебные испектора и помощники ихъ;369533
;;;а;Личный составъ;352713
;;;б;Канцелярскiе и хозяйственные расходы;16820
;;2;;Инспекторъ морскихъ врачебно-наблюдательныхъ станцiй и пунктовъ северного побережья Чернаго Моря;4820
;;3;;Врачи, фельдшера, фельдшерицы, лекарскiе ученики и повивальные бабки;1129094
;;;а;Личный составъ;1109889
;;;б;Канцелярскiе и хозяйственные расходы;9950
;;;в;вознагражденiя за спецiальные труды;9255
;;4;;Медицинскiе чины, прикомандированные къ разнымъ учрежденiямъ, и стипендiаты;27200
;;5;;Врачебно-наблюдательные станцiи и пункты;274453
;;;а;Личный составъ;213953
;;;б;Канцелярскiе и хозяйственные расходы;60500
;;6;;Международное санитарное бюро в Париже;6000
37;6;;;Разные расходы по врачебной и врачебно-полицейской частямъ;1952438
;;1;;Врачебныя заведенiя и аптеки;1639299
;;;а;Личный составъ;320402
;;;б;Канцелярскiе и хозяйственные расходы;1318897
;;2;;Леченiе и погребенiе разныхъ лицъ, вскрытiе мертвыхъ телъ, химическiя исследованiя и другiе расходы по врачебно-полiцейской части;185000
;;3;;Пособiя городам и земствамъ на врачебную часть;116439
;;4;;Пособiя медицинскимъ обществамъ;11700
;;;;Ветеринарная часть;None
