nn;chapter;article;paragraph;name;summ
;;;;В. Операцiонные расходы;None
108;9;;;Содержаніе м?стъ выд?лки и продажи спирта и вина;32507768
;;1;;Казенные спиртоочистительные заводы:;35700
;;;а;личный составъ;16300
;;;б;канцелярскіе и хозяйственные расходы;19400
;;2;;Склады и отд?ленія складовъ:;5010658
;;;а;личный составъ;2990000
;;;б;канцелярскіе и хозяйственные расходы;1950000
;;;в;наемъ пом?щеній;70658
;;3;;Расходы на врачебную помощь и санитарный надзоръ;400000
;;4;;Винныя лавки:;24935000
;;;а;личный составъ;15700000
;;;б;хозяйственные расходы;2235000
;;;в;наемъ пом?щеній;7000000
;;5;;Химическія лабораторіи:;126410
;;;а;личный составъ;77910
;;;б;канцелярскіе и хозяйственные расходы;48500
;;6;;Коммисіонное вознагражденіе частныхъ виноторговцевъ за продажу изъ ихъ заведеній казеннаго вина;2000000
109;10;;;Уплата сборовъ съ казенныхъ имуществъ;1535000
;;1;;Городскіе и земскіе сборы;1535000
110;11;;;Заготовка и доставка спирта, а также приготовленіе вина;100083000
;;1;;Заготовка спирта   ;69328000
;;2;;Ректификація спирта ;9184000
;;3;;Приготовленіе вина;12110000
;;4;;Перевозка спирта;9461000
111;12;;;Денежныя выдачи винокуреннымъ заводчикамъ взам?нъ безакцизныхъ отчисленій;15680000
;;1;;Взам?нъ общаго безакцизнаго отчисленія;7280000
;;2;;Взам?нъ дополнительнаго безакцизнаго отчисленія;8400000
112;13;—;;Перевозка вина ;18499000
113;14;—;;Заготовка денатурированнаго спирта ;4300000
114;15;—;;Покупка посуды;4700000
;;;;Г. Пособія и вознагражденіе по разнымъ случаямъ;None
115;16;;;Пособія по разнымъ случаямъ;5385000
;;1;;Пособія попечительствамъ о народной трезвости;2500000
;;2;;Денежныя выдачи взам?нъ безакцизныхъ отчисленіи при фруктово-виноградо-водочномъ производств?;80000
;;3;;Выдача премій за очистку спирта;1255000
;;4;;Выдача премій при вывоз? спирта за границу;1550000
116;17;;;Вознагражденіе за отошедшіе въ казну имущества, доходы и др.;7624379
;;1;;Вознагражденіе за потерю въ доходахъ всл?дствіе введенія казенной продажи питей:;7624379
;;;а;земствамъ и городамъ;6152000
;;;б;казачьимъ войскамъ;1472379
;;;;Департаментъ Таможенныхъ Сборовъ;10601336
;;;;Гражданское управленіе;None
;;;;Общіе расходы по управленiю;None
117;1;;;Содержаніе центральныхъ учрежденій;391788
;;1;;Департаментъ Таможенныхъ Сборовъ:;391788
;;;а;личный составъ;277981
;;;б;канцелярскіе и хозяйственные расходы;49199
;;;в;награды и пособія;64608
118;2;;;Содержаніе м?стныхъ учрежденій;7814200
;;1;;Управленія таможенныхъ округовъ и инспекторы участковъ:;302949
;;;а;личный составъ;267610
;;;б;канцелярскіе и хозяйственные расходы;19839
;;;в;наемъ и содержаніе пом?щеній;15500
;;2;;Таможни, заставы, переходные пункты и таможенные посты:;7169492
;;;а;личный составъ;6122032
;;;б;канцелярскіе и хозяйственные расходы по штатному положенію;176460
;;;в;хозяйственные расходы, назначаемые по д?йствительной надобности;199000
;;;г;наемъ и содержаніе пом?щеній;672000
;;3;;Врачебная помощь нижнимъ чинамъ;15000
;;4;;Награды и пособія;91689
;;5;;Пособія на воспитаніе д?тей;108070
;;6;;Выдачи по м?стнымъ привилегіямъ службы:;127000
;;;а;путевыя пособія;24000
;;;б;прибавочное жалованье;77000
;;;в;пособія на воспитаніе д?тей;26000
119;3;;;Разные расходы администраціи;194000
;;1;;Путевое довольствіе;194000
120;4;;;Постройка и содержаніе судовъ для таможенной службы;277055
;;1;;Содержаніе судовъ;234500
;;2;;Постройка и капитальный ремонтъ судовъ;42555
121;5;;;Разные расходы по управленію;896500
;;1;;Расходы по наложенію таможенныхъ клеймъ, пломбъ и бандеролей;730000
;;2;;Расходы по пресл?дованію контрабанды;35000
;;3;;Возвратъ пошлинъ, излишне взысканныхъ и за вывозимые обратно за границу товары;122000
;;4;;Расходы по разсчету съ торгующими за ихъ товары, проданные таможнями, а также утраченные изъ таможенныхъ пом?щеній  ;9500
;;;;Постройка зданій и пріобр?теніе невижимыхъ имуществъ;None
122;6;;;Сооруженіе и ремонтъ зданій;1027793
;;1;;Постройка зданій, пріобр?теніе недвижимыхъ имуществъ, приспособленіе и оборудованіе пом?щеній;777793
;;2;;Ремонтъ;250000
;;;;Управленіе Отд?льнаго Корпуса Пограничной Стражи;14918531
;;;;Гражданское управленіе;None
;;;;Общіе расходы по управленiю;None
123;1;;;Содержаніе центральныхъ учрежденій;225385
;;1;;Управленіе Корпуса:;190320
;;;а;личный составъ;176320
;;;б;канцелярскіе и хозяйственные расходы;14000
;;2;;Хозяйственныя учрежденія Корпуса:;35065
;;;а;личный составъ;33995
;;;б;канцелярскіе и хозяйственные расходы;1070
124;2;;;Денежное довольствіе пограничной стражи;7271093
;;1;;Офицерскіе и классные чины:;2580111
;;;а;содержаніе;2575695
;;;б;пособія офицерамъ на покупку лошадей;4416
;;2;;Нижніе чины:;4608982
;;;а;содержаніе;1069259
;;;б;вознагражденіе за сверхсрочную службу;233700
;;;в;кормовыя и чайныя деньги  ;3283538
;;;г;отпускъ на покупку мыла;22485
;;3;;Канцелярскіе и хозяйственные расходы;46800
;;4;;Выдачи по м?стнымъ привилегіямъ службы:;35200
;;;а;путевыя пособія;19900
;;;б;прибавочное жалованье ;15300
125;3;;;Снабженіе, снаряженіе и разм?щеніе пограничной стражи;5069035
;;1;;;911935
;;;а;Обмундированіе и б?лье;768792
;;;б;Вооруженіе;31742
;;;в;Заготовленіе конскаго снаряженія;70901
;;;г;Укупорка и перевозка;40500
;;2;;Конскій составъ:;2615466
;;;а;покупка лошадей для нижнихъ чиновъ;300350
;;;б;фуражныя деньги;2200000
;;;в;ковочныя деньги;115116
;;3;;Пом?щенія:;1541634
;;;а;наемъ;829076
;;;б;отопленіе и осв?щеніе;656958
;;;в;содержаиіе зданій;55600
126;4;;;Расходы по содержанію и плаванію флотиліи;308623
;;1;;Содержаніе вольнонаемныхъ служащихъ на судахъ;110466
;;2;;Морское довольствіе;39776
;;3;;Заготовленіе топлива и расходныхъ судовыхъ матеріаловъ:;149281
;;;а;топливо;107281
;;;б;расходные матеріалы;42000
;;4;;Мелочные расходы по содержанію флотиліи;9100
127;5;;;Сооруженіе и ремонтъ судовъ;451125
;;1;;Постройка и пріобр?теніе судовъ;380525
;;2;;Ремонтъ судовъ:;70600
;;;а;капитальный ремонтъ паровыхъ морскихъ судовъ ;9000
;;;б;мелочной ремонтъ паровыхъ морскихъ судовъ и текущій ремонтъ мелкихъ судовъ, а равно пріобр?теніе для судовъ постоянныхъ предметовъ снабженія;61600
128;6;;;Расходы по врачебной и ветеринарной частямъ;183364
;;1;;Содержаніе и леченіе больныхъ;126964
;;2;;Мелочные расходы по врачебной части;40200
;;3;;Леченіе лошадей;16200
129;7;;;Разные расходы администраціи;536349
;;1;;Перевозка воискъ и воинскихъ грузовъ;54000
;;2;;Расходы по командировкамъ и назначеніямъ;147000
;;3;;Награды и пособія офицерамъ и класснымъ чинамъ ;186820
;;4;;Награды и пособія нижнимъ чинамъ;48529
;;5;;Расходы на воспитаніе д?тей;100000
130;8;;;Разные расходы по управленію;89400
;;1;;По д?ламъ о контрабанд?;8000
;;2;;Патрульныя дороги: содержаніе и ремонтъ;37300
;;3;;Устройство и содержаніе сигнализаціи;12500
;;4;;Спеціальное обученіе:;25900
;;;а;устройство и содержаніе учебныхъ отрядовъ;15500
;;;б;расходы на учебные сборы;6400
;;;в;призы и денежныя награды за стр?льбу;4000
;;5;;На наемъ переводчиковъ и досмотрщицъ;1700
;;6;;На вызовъ въ С.-Петербургъ сводной роты представителей отъ частей Пограничной Стражи для участія въ Вьісочайшемъ парад? по случаю храмового праздника 21 ноября;4000
;;;;Постройка зданій и пріобр?теніе недвижимыхъ имуществъ;None
131;9;;;Сооруженіе и ремонтъ зданій;660000
;;1;;Постройка зданій и пріобр?теніе недвижимыхъ имуществъ;500000
;;2;;Ремонтъ зданій ;160000
;;;;Расходы по пенсіонному обезпеченію служащихъ и аренды;None
132;10;;;Пенсіи и пенсіонныя пособія изъ казны;124157
;;1;;6%-ные вычеты изъ содержанія чиновъ Корпуса Пограничнои Стражи для обращенія въ эмеритальную кассу военно-сухопутнаго в?домства;124157
;;;;Департаментъ Жел?знодорожныхъ Д?лъ;15376394
;;;;Гражданское управленіе;None
;;;;Общіе расходы по управленію;None
133;1;;;Содержаніе центральныхъ учрежденій;297988
;;1;;Тарифный Комитетъ и Департаментъ Жел?знодорожныхъ Д?лъ:;297988
;;;а;личный составъ;230109
;;;б;канцелярскіе и хозяйственные расходы;32600
;;;в;награды, пособія и вознагражденія за экстренныя занятія  ;31650
;;;г;пособія на воспитаніе д?тей;3629
134;2;;;Содержаніе м?стныхъ учрежденій;21548
;;1;;Директоры отъ Министерства Финансовъ въ правленіяхъ жел?знодорожныхъ обществъ;21548
135;3;;;Пути сообщенія, кроме казенныхъ жел?зныхъ дорогъ, и порты;15056858
;;—;;Приплаты, пособія и другія выдачи частнымъ обществамъ жел?зныхъ дорогъ по эксплоатаціи ими линій;15056858
;;;;Особенная Канцелярія по Кредитной Части;23328827
;;;;Гражданское управленіе;None
;;;;Общіе расходы по управленію;None
136;1;;;Содержаніе центральныхъ учрежденій;459292
;;1;;Особенная Канцелярія по Кредитной Части:;237015
;;;а;личныи составъ;113563
;;;б;канцелярскіе и хозяйственные расходы;15888
;;;в;на усиленіе средствъ;35564
;;;г;на добавочное вознагражденіе чинамъ Кредитной Канцеляріи;72000
;;2;;Государственная Коммисія Погашенія Долговъ:;218827
;;;а;личный составъ ;167687
;;;б;канцелярскіе и хозяйственные расходы;28740
;;;в;на усиленіе средствъ;20000
;;;г;на награды;2400
;;3;;Пособія на воспитаніе д?тей;3450
137;2;;;Разные расходы администраціи;14500
;;1;;Командировки чиновниковъ Особенной Канцеляріи по Кредитной Части для производства ревизій кредитныхъ установленій и пенсіонныхъ кассъ;3650
;;2;;Расходы по ликвидаціи д?лъ прежнихъ государственныхъ кредитныхъ установленій;6000
;;3;;Расходы по обнаруженію подд?лывателей денежныхъ знаковъ ;2300
;;4;;Пособія на воспитаніе д?тей чинамъ С.-Петербургской Ссудной Казны ;600
;;5;;Прибавочное жалованье Предс?дателю Главной Дирекціи Земскаго Кредитнаго Общества въ губерніяхъ Царства Польскаго Тайн Сов Арсеньеву;2000
138;3;;;Разные расходы по управленію;116000
;;1;;Гербовые, почтовые, коммисіонные и т.п. расходы за границею;116000
139;4;;;Убытки отъ переоц?нки по общему паритету суммъ, обращавшихся въ кассахъ въ иностранныхъ валютахъ;200000
140;5;;;Ссуды;1500000
;;1;;На выдачу ссудъ земствамъ, городамъ, учрежденіямъ и разнымъ лицамъ;1500000
;;;;Пособія и вознагражденiе по разнымъ случаямъ;None
141;6;;;Пособія по разнымъ случаямъ;15549395
;;1;;Губернскимъ дворянскимъ кассамъ взаимопомощи;50000
;;2;;С.-Петербургскому отд?ленію Комитета о сельскихъ ссудосберегательныхъ и промышленныхъ товариществахъ;3000
;;3;;Государственному Дворянскому Земельному Банку въ возм?щеніе уплачиваемаго 5% сбора съ доходовъ отъ закладныхъ листовъ сего Банка н?которыхъ вьпусковъ;193276
;;4;;Пополненіе недостатка въ средствахъ Крестьянскаго Поземельнаго Банка на покрытіе его обязательствъ, вызываемаго пониженіемъ платежей заемщиковъ Банка;15250000
;;5;;Подлежащее возврату воспособленіе государственнымъ сберегательнымъ кассамъ въ возм?щеніе расходовъ по веденію операцій страхованія доходовъ и капиталовъ;53119
141;6;;;Пособіе фонду спеціальныхъ средствъ управленія по д?ламъ мелкаго кредита для выдачи ссудъ на образованіе спеціальныхъ капиталовъ по посреднической операціи;500000
142;7;;;Вознагражденіе за отошедшіе въ казну имущества, доходы и др.;803031
;;1;;Возм?щеніе н?которымъ капиталамъ уплачиваемаго съ доходовъ отъ нихъ сбора;587916
;;2;;Возм?щеніе убытковъ отъ конверсіи государственныхъ процентныхъ бумагъ эмеритальной кассы военно-сухопутнаго в?домства;175360
;;3;;Вознагражденіе за уменьшеніе банковыхъ процентовъ;39755
;;;;Расходы по пенсіонному обезпеченію служащихъ и аренды;None
143;8;;;Пенсіи и пенсіонныя пособія изъ казны;113856
;;1;;Пособіе вспомогательной касс? при Горнозаводскомъ Товариществ? Монетнаго Двора;10920
;;2;;На вознагражденіе потерп?вшихъ отъ несчастныхъ случаевъ мастеровыхъ, рабочихъ и вольнонаемныхъ служащихъ Монетнаго Двора и золотосплавочныхъ лабораторій Министерства Финансовъ, а равно членовъ семейства сихъ лицъ;2936
;;3;;На ликвидацію обязательствъ вспомогательной и пенсіонной кассъ Экспедиціи Заготовленія Государственныхъ Бумагъ;100000
;;;;Казенныя операціи;None
;;;;Операцiи Монетнаго Двора и золотосплавочныхъ лабораторій;None
144;9;;;Содержаніе управленія;237803
;;1;;Монетный Дворъ:;168052
;;;а;личный составъ;119952
;;;б;канцелярскіе и хозяйственные расходы;18000
;;;в;награды и пособія;29800
;;;г;пособіе на воспитаніе д?тей;300
;;2;;Золотосплавочныя лабораторіи Министерства Финансовъ:;69751
;;;а;личный составъ;40444
;;;б;хозяйственные расходы:;27200
;;;в;добавочное содержаніе ;2107
145;10;;;Операціонные расходы;3834900
;;;;А. По Монетному Двору;None
;;1;;;1414500
;;;а;Матеріалы, припасы и металлы;1388000
;;;б;На добавочное вознагражденіе чинамъ и служащимъ Министерства Финансовъ и Государственнаго Контроля за особые труды;26500
;;2;;Рабочая плата ;339000
;;3;;На списаніе нарицательной ц?пы м?дной монеты, высылаемой казначействами на Монетный Дворъ;240000
;;4;;На списаніе разницы между нарицательною ц?ною поступающей на Монетный Дворъ серебряной монеты и перед?льною ц?ною полученнаго отъ сплава этой монеты серебра;1710000
;;;;Б. По золотосплавочнымъ лабораторіямъ;None
;;5;;Сплавъ и опробованіе частнаго золота и переплавка соровъ;33000
;;6;;Доставка золота въ золотосплавочныя лабораторіи и на Монетный Дворъ;98000
;;7;;Заготовленіе бланковъ ассигновокъ на золото ;400
;;;;МИНИСТЕРСТВО ЮСТИЦІИ;82616422
;;;;По общей части;48876163
;;;;Высшія государственныя учрежденія;None
146;1;;;Содержаніе Правительствующаго Сената (кром? Кассаціонныхъ Департаментовъ) и состоящихъ при немъ учрежденій;1811450
;;1;;Сенаторы ;793183
;;2;;Канцеляріи Департаментовъ Сената:;351343
;;;а;личный составъ;239218
;;;б;канцелярскіе расходы;112125
;;3;;Сенатскій архивъ:;22577
;;;а;личный составъ;15552
;;;б;канцелярскіе расходы;7025
;;4;;Хозяйственный Комитетъ:;13242
;;;а;личный составъ;10742
;;;б;канцелярскіе расходы;2500
;;5;;Сенатская типографія:;561335
;;;а;личный составъ;20950
;;;б;операціонные расходы;528385
;;;в;награды и пособія;12000
;;6;;Хозяйственные расходы;69770
;;;;Гражданское управленіе;None
;;;;Общіе расходы по управленiю;None
147;2;;;Содержаніе центральныхъ учрежденій;579886
;;1;;Министръ Юстиціи, его Товарищи и Управляющій Межевою Частью ;3915]
;;2;;Консультація и чиновники особыхъ порученіи при Министр?:;34646
;;;а;консультація ;24492
;;;б;чиновники особыхъ порученій при Министр?;10154
;;3;;Первый Департаментъ:;209320
;;;;личный составъ;209320
;;4;;Второй Департаментъ:;167679
;;;;личный составъ;167679
;;5;;Канцелярскіе и хозяйственные расходы Департаментовъ;77173
;;6;;Помощникъ, межевые ревизоры и Канцелярія Управляющаго Межевою Частью:;51917
;;;а;личный составъ;40742
;;;б;канцелярскіе и хозяйственные расходы;1200
;;;в;наемъ и содержаніе пом?щенія;9975
148;3;;;Содержаніе м?стныхъ учрежденій;101117
;;1;;Московскій архивъ Министерства Юстиціи:;76102
;;;а;личный составъ;58062
;;;б;канцелярскіе и хозяйственные расходы;18040
;;2;;Главный архивъ древнихъ актовъ въ Царств? Польскомъ:;25015
;;;а;личный составъ;21215
;;;б;канцелярскіе и хозяйственные расходы;3800
149;4;;;Разные расходы администраціи;248500
;;1;;Путевое довольствіе;150000
;;2;;Награды и пособія;82500
;;3;;Пособія на воспитаніе д?тей;16000
;;;;Судъ и тюремная часть;None
150;5;;;Кассаціонные Департаменты Правительствующаго Сената;729152
;;1;;Личный составъ;660252
;;2;;Канцелярскіе расходы;68900
151;6;;;Судебныя палаты;2800055
;;1;;Личный составъ;2390355
;;2;;Канцелярскіе расходы;409700
152;7;;;Окружные суды и городскіе судьи;24865377
;;1;;Личный составъ:;21656056
;;;а;окружныхъ судовъ;20423244
;;;б;городскихъ судей;1232812
;;2;;Канцелярскіе расходы;3209321
153;8;;;Мировыя судебныя установленія и гминные суды;6137864
;;1;;Личный составъ:;5439247
;;;а;мировыхъ судебныхъ установленій;4721947
;;;б;гминныхъ судовъ;717300
;;2;;Канцелярскіе расходы:;698617
;;;а;мировыхъ установленій;446817
;;;б;гминныхъ судовъ;251800
154;9;;;Коммерческіе суды;201516
;;1;;Личный составъ;133297
;;2;;Канцелярскіе и хозяйственные расходы;68219
155;10;;;Общіе расходы судебныхъ установленій;8421889
;;1;;Наемъ и содержаніе пом?щеній:;1403739
;;;а;наемъ пом?щеній;500891
;;;б;содержаніе ихъ и хозяйственные расходы;902848
;;2;;Расходы, сопряженные съ отправленіемъ судебныхъ д?йствій:;5177600
;;;а;путевое довольствіе;2400000
;;;б;вознагражденіе свид?телямъ, экспертамъ и духовенству;2527600
;;;в;печатаніе объявленій и другіе расходы по судебнымъ д?ламъ;250000
;;3;;Содержаніе кандидатовъ на должности по судебному в?домству;850000
;;4;;Выдачи по привилегіямъ службы:;787550
;;;а;путевыя пособія;228000
;;;б;прибавочное жалованье ;516574
;;;в;пособія на воспитаніе д?тей;42976
;;5;;Пособія чинамъ судебныхъ установленій;202500
155;10;;;На путевые расходы чиновъ судебнаго в?домства по разъ?здамъ ихъ по д?ламъ о выборахъ въ 4-ю Государственную Думу;100000
;;;;Межевая часть;None
156;11;;;Содержаніе межевыхъ учрежденій;1444089
;;1;;Межевая Канцелярія съ чертежной, архивами и межевыми техниками:;214827
;;;а;личный составъ;181819
;;;б;канцелярскіе, хозяйственные и операціонные расходы;32508
;;2;;Межевыя учрежденія въ Кубанской и Терской областяхъ и въ Закавказскомъ кра?:;370412
;;;а;личный составъ;239092
;;;б;канцелярскіе, хозяйственные и операціонные расходы;131320
;;3;;Межевые чины, состоящіе при Кавказскомъ военно-народномъ управленіи:;52907
;;;а;личный составъ;20678
;;;б;канцелярскіе, хозяйственные и операціонные расходы;32229
;;4;;Межевыя коммисіи для размежеванія башкирскихъ дачъ:;121817
;;;а;личный составъ;54927
;;;б;канцелярскіе, хозяйственные и операціонные расходы;66890
;;5;;Коммисія для отграниченія земель Забайкальскаго казачьяго войска:;25253
;;;а;личный составъ;14053
;;;б;канцелярскіе, хозяйственные и операціонные расходы;11200
;;6;;Межевые чины при Управленіи Приамурскаго Генералъ-Губернатора:;7225
;;;;личный составъ;7225
;;7;;Губернскія и областныя чертежныя:;545304
;;;а;личный составъ;385958
;;;б;канцелярскіе, чертежные и хозяйственные расходы;113344
;;;в;наемъ пом?щеній для чертежныхъ;46002
;;8;;Наемъ вольной прислуги для землем?ровъ;8942
;;9;;Путевыя и операціонныя издержки землем?ровъ;53341
;;10;;Пособія землем?рнымъ помощникамъ и чертежникамъ;3383
;;11;;Выдачи по привилегіямъ службы:;41178
;;;а;путевыя пособія;12000
;;;б;прибавочное жалованье;28698
;;;в;пособія на воспитаніе д?тей;480
;;;;Просв?щеніе, науки и искусства;None
157;12;;;Содержаніе высшихъ учебныхъ заведеній;389752
;;1;;Императорское Училище Правов?д?нія:;243465
;;;а;личный составъ;57594
;;;б;учебная часть ;51800
;;;в;содержаніе учащихся ;57738
;;;д;канцелярскіе и хозяйственные расходы;76333
;;2;;Константиновскій Межевой Институтъ:;146287
;;;а;личный составъ;58813
;;;б;учебная часть ;8440
;;;в;содержаніе учащихся;38500
;;;г;стипендіи и пособія;2534
;;;д;канцелярскіе и хозайственные расходы;38000
158;13;;;Содержаніе среднихъ учебныхъ заведеній;None
;;1;;Землем?рныя училища:;364212
;;;а;личный составъ;126557
;;;б;учебная часть;17000
;;;г;стипендіи и пособія;94490
;;;д;канцелярскіе и хозяйственные расходы;126165
;;;;Постройка зданій и пріобр?теніе недвижимыхъ имуществъ;None
159;14;;;Сооруженіе и ремонтъ зданій;672619
;;1;;Постройка зданій, пріобр?теніе недвижимыхъ имуществъ, приспособленіе и оборудованіе пом?щеній;496931
;;2;;Ремонтъ;175688
;;;;Пособія и вознагражденіе по разнымъ случаямъ;None
160;15;;;Пособія по разнымъ случаямъ;9185
;;1;;Пособіе на содержаніе н?которыхъ м?стъ;9185
;;;;По тюремной части;33740259
;;;;Гражданское управленіе;None
;;;;Общіе расходы по управленiю;None
161;1;;;Содержаніе центральныхъ учрежденій;None
;;1;;Главное Тюремное Управленіе:;161146
;;;а;личный составъ;74703
;;;б;канцелярскіе и хозяйственные расходы;37638
;;;в;наемъ и содержаніе пом?щеній;27100
;;;г;награды и пособія;18955
;;;д;пособія на воспитаніе д?тей;2750
162;2;;;Содержаніе м?стныхъ учрежденій;305184
;;1;;Тюремная инспекція:;296184
;;;а;личный составъ;223124
;;;б;канцелярскіе и хозяйственные расходы;73060
;;2;;Выдачи по м?стнымъ привилегіямъ службы:;9000
;;;а;путевыя пособія;4000
;;;б;прибавочное жалованье ;4000
;;;в;пособія на воспитаніе д?тей;1000
163;3;;;Разные расходы администраціи;98000
;;1;;Путевое довольствіе;78000
;;2;;Телеграфные расходы ;20000
;;;;Судъ и тюремная часть;None
164;4;;;Управленіе м?стами заключенія и тюремная стража;7069430
;;1;;Управленіе м?стами заключенія:;1595953
;;;а;личный составъ;1185988
;;;б;канцелярскіе и хозяйственные расходы;409965
;;2;;Тюремная стража:;5428477
;;;а;личный составъ;4408477
;;;б;прибавочное жалованье ;660000
;;;в;хозяйственные расходы;360000
;;3;;Путевое довольствіе;18000
;;4;;Выдачи по м?стнымъ привилегіямъ службы:;27000
;;;а;путевыя пособія;15000
;;;б;прибавочное жалованье ;6000
;;;в;пособія на воспитаніе д?тей;6000
165;5;;;Военная стража;2413501
;;1;;Денежное довольствіе;684003
;;2;;Прочіе виды довольствія;1729498
166;6;;;Содержаніе арестантовъ;12645000
;;1;;Продовольствіе ;7100000
;;2;;Одежда и обувь ;2400000
;;3;;Содержаніе и леченіе больныхъ арестантовъ и погребеніе умершихъ;2700000
;;4;;Прочіе хозяйственно-операціонные расходы по содержанію арестантовъ:;445000
;;;а;на хозяйственный бытъ ссыльно-каторжныхъ;50000
;;;б;телефоны и сигнализація;100000
;;;в;публикаціи, арестантскіе билеты, фотографіи;50000
;;;г;баня и стирка б?лья ;125000
;;;д;мелочные расходы;120000
167;7;;;Наемъ и содержаніе тюремныхъ пом?щеній;3837000
;;1;;Наемъ пом?щеній ;550000
;;2;;Содержаніе пом?щеній:;3287000
;;;а;отопленіе и осв?щеніе ;2600000
;;;б;содержаніе пом?щеній въ чистот?;675000
;;;в;уплата повинностей ;12000
168;8;—;;Перевозка арестантовъ, конвоя и грузовъ;1000000
169;9;—;;Содержаніе и пересылка арестантовъ въ губерніяхъ привислинскихъ;219048
;;;;Постройка зданій и пріобр?теніе недвижимыхъ имуществъ;None
170;10;;;Сооруженіе и ремонтъ зданій;5955000
;;1;;Постройка зданій, пріобр?теніе недвижимыхъ имуществъ, приспособленіе и оборудованіе пом?щеній;4000000
;;2;;Ремонтъ ;1750000
;;3;;Строительныя надобности военной стражи, окарауливающей каторжныя тюрьмы;5000
;;4;;Возвратъ позаимствованій, произведенныхъ на тюремно-строительныя надобности изъ земскихъ штрафныхъ капиталовъ;200000
;;;;Пособія и вознагражденіе по разным случаямъ;None
171;11;;;Пособія по разнымъ случаямъ;36950
;;1;;Международной тюремной коммисіи;800
;;2;;На содержаніе исправительно-воспитательныхъ заведеній;18000
;;3;;На содержаніе пріютовъ для д?тей арестантовъ и ссыльныхъ;10000
;;4;;Попечительству Сергіево-Елисаветинскаго пріюта;1150
;;5;;Ссыльно-поселенцамъ и ихъ семействамъ;12000
;;;;МИНИСТЕРСТВО ИНОСТРАННЫХЪ Д?ЛЪ;6569190
;;;;Гражданское управленіе;None
;;;;Общіе расходы по управленію;None
172;1;;;Содержаніе центральныхъ учрежденій;525773
;;1;;Министръ и Товарищъ Министра;38200
;;2;;Сов?тъ Министра, Сов?тники и чиновники особыхъ порученій ;45253
;;3;;Канцелярія Министерства:;55020
;;;;личный составъ ;55020
;;4;;Первый Департаментъ:;65258
;;;;личный составъ;65258
;;5;;Второй Департаментъ:;59827
;;;;личный составъ;59827
;;6;;Департаментъ Личнаго Состава и Хозяйственныхъ Д?лъ:;50965
;;;;личный составъ;50965
;;7;;Государственный и С.-Петербургскій Главный Архивы:;17698
;;;;личный составъ;17698
;;8;;Московскій Главный Архивъ:;16492
;;;;личный составъ;16492
;;9;;Учебное Отд?леніе восточныхъ языковъ;18061
;;10;;Литографическое заведеніе Министерства;5954
;;11;;Канцелярскіе и хозяйственные расходы центральныхъ учрежденій;54875
;;12;;Содержаніе и ремонтъ зданій;98670
173;2;;;Содержаніе м?стныхъ учрежденій;27650
;;1;;Содержаніе агентовъ по дипломатической части въ Россіи:;27650
;;;а;личный составъ;24650
;;;б;канцелярскіе и хозяйственные расходы;3000
174;3;;;Разные расходы администраціи;901000
;;1;;Почтово-телеграфные расходы;340000
;;2;;Путевое довольствіе;490000
;;3;;Награды и пособія;68000
;;4;;Пособія на воспитаніе д?тей;3000
175;4;;;Разные расходы по управленію;542686
;;1;;Изданія Министерства Иностранныхъ Д?лъ;5000
;;2;;Секретные расходы;537686
;;;;Вн?шнiя сношенiя;None
176;5;;;Содержаніе дипломатическихъ и консульскихъ учрежденій за границею;4381966
;;1;;Посольства и миссіи:;2128110
;;;а;личный составъ;1995706
;;;б;канцелярскіе расходы;78250
;;;в;переписчики, переводчики, курьеры и сторожа;54154
;;2;;Консульства и агентства:;1850932
;;;а;личный составъ;1443433
;;;б;канцелярскіе расходы;173700
;;;в;переписчики, переводчики, курьеры и сторожа;233799
;;3;;Нештатные агенты ;29000
;;4;;Наемъ и содержаніе домовъ посольствъ, миссій и консульствъ ;373924
;;;;Постройка зданій и пріобр?теніе недвижимихъ имуществъ;None
177;6;;;Сооруженіе и ремонтъ зданій;None
;;1;;Ремонтъ;98921
;;;;Пособія и вознагражденіе по разнымъ случаямъ;None
178;7;;;Пособія по разнымъ случаямъ;91194
;;1;;На пере?зды и содержаніе въ училищахъ воспитывающихся въ Россіи южныхъ славянъ и на мелкія пособія имъ;37180
;;2;;Русскому Комитету для изсл?дованія средней и восточной Азіи ;10000
;;3;;Благотворительнымъ и учебнымъ заведеніямъ за границей;33500
;;4;;Прутской См?шанной Коммисіи;10514
;;;;МИНИСТЕРСТВО НАРОДНАГО ПРОСВ?ЩЕНІЯ;117537360
;;;;Гражданское управленіе;None
;;;;Общіе расходы по управленію;None
179;1;;;Содержаніе центральныхъ учрежденій;773969
;;1;;Министръ Народнаго Просв?щенія и его Товарищи;46290
;;2;;Члены Сов?та Министра, Члены Ученаго Комитета и Канцелярія его, чиновники особыхъ порученій и причисленные, редакція «Журнала Министерства Народнаго Просв?щенія» и Предс?датель постоянной коммисіи народныхъ чтеній;130845
;;3;;Департаментъ Народнаго Просв?щенія:;135539
;;;;личный составъ;135539
;;4;;Отд?лъ промышленныхъ училищъ:;61209
;;;;личный составъ ;61209
;;5;;Департаментъ Общихъ Д?лъ:;117169
;;;;личный составъ;117169
;;6;;Юрисконсультская часть:;8596
;;;;личный составъ;8596
;;7;;Управленіе пенсіонной кассы народныхъ учителей и учительницъ:;50861
;;;;личный составъ;50861
;;8;;Канцелярскіе и хозяйственные расходы центральнаго управленія;117640
